"frame","x [nm]","y [nm]","intensity [photon]","offset [photon]"
22274.0000,10891.0000, 3712.0000,33365.0000,  100.0000
24596.0000,10901.0000, 3712.0000, 6482.0000,  278.0000
24597.0000,10902.0000, 3712.0000, 8343.0000,  301.0000
24599.0000,10902.0000, 3714.0000, 8127.0000,  292.0000
24614.0000,10898.0000, 3706.0000, 3255.0000,  261.0000
26679.0000,10897.0000, 3711.0000, 3975.0000,  308.0000
26680.0000,10902.0000, 3726.0000, 8496.0000,  229.0000
26681.0000,10895.0000, 3721.0000, 7952.0000,  255.0000
26682.0000,10892.0000, 3715.0000, 8916.0000,  261.0000
26683.0000,10895.0000, 3717.0000, 7002.0000,  320.0000
26684.0000,10891.0000, 3717.0000, 7241.0000,  333.0000
26687.0000,10885.0000, 3717.0000, 9518.0000,  251.0000
26688.0000,10883.0000, 3707.0000, 8039.0000,  304.0000
28994.0000,10877.0000, 3718.0000, 8563.0000,  229.0000
28995.0000,10875.0000, 3706.0000, 7858.0000,  258.0000
28996.0000,10874.0000, 3715.0000, 8587.0000,  233.0000
28997.0000,10880.0000, 3708.0000, 8386.0000,  229.0000
28998.0000,10874.0000, 3716.0000, 8260.0000,  236.0000
28999.0000,10875.0000, 3711.0000, 9189.0000,  228.0000
29000.0000,10871.0000, 3714.0000, 8554.0000,  232.0000
29001.0000,10879.0000, 3706.0000, 8607.0000,  246.0000
29002.0000,10873.0000, 3714.0000, 8061.0000,  256.0000
29003.0000,10874.0000, 3718.0000, 9029.0000,  235.0000
29004.0000,10877.0000, 3716.0000, 8299.0000,  252.0000
29005.0000,10880.0000, 3713.0000, 9333.0000,  219.0000
29006.0000,10873.0000, 3719.0000, 8733.0000,  234.0000
29007.0000,10876.0000, 3714.0000, 8471.0000,  231.0000
29008.0000,10877.0000, 3716.0000, 8902.0000,  239.0000
29009.0000,10868.0000, 3716.0000, 8856.0000,  242.0000
29012.0000,10873.0000, 3709.0000, 8989.0000,  230.0000
29013.0000,10874.0000, 3716.0000, 8193.0000,  246.0000
29014.0000,10877.0000, 3714.0000, 2605.0000,  216.0000
30359.0000,10894.0000, 3708.0000, 9818.0000,  420.0000
34673.0000,10880.0000, 3710.0000,14908.0000,  298.0000
36522.0000,10902.0000, 3726.0000, 8824.0000,  285.0000
36523.0000,10886.0000, 3720.0000, 8753.0000,  243.0000
36524.0000,10885.0000, 3712.0000, 8888.0000,  246.0000
36525.0000,10883.0000, 3719.0000, 8229.0000,  246.0000
36526.0000,10895.0000, 3718.0000, 8625.0000,  268.0000
36527.0000,10896.0000, 3723.0000, 5271.0000,  276.0000
36528.0000,10904.0000, 3717.0000, 8856.0000,  279.0000
36529.0000,10891.0000, 3714.0000, 8268.0000,  291.0000
36531.0000,10903.0000, 3715.0000, 8339.0000,  306.0000
36729.0000,10881.0000, 3731.0000,10237.0000,  268.0000
41475.0000,10905.0000, 3718.0000, 9427.0000,  250.0000
46908.0000,10874.0000, 3717.0000,12624.0000,  256.0000
46909.0000,10881.0000, 3719.0000,11359.0000,  262.0000
46910.0000,10879.0000, 3722.0000,12160.0000,  266.0000
46911.0000,10879.0000, 3711.0000,13856.0000,  272.0000
46912.0000,10872.0000, 3716.0000,12607.0000,  263.0000
46913.0000,10881.0000, 3713.0000,12185.0000,  279.0000
46914.0000,10884.0000, 3729.0000,14074.0000,  282.0000
46916.0000,10880.0000, 3715.0000,12469.0000,  269.0000
46917.0000,10877.0000, 3714.0000,12307.0000,  268.0000
46918.0000,10877.0000, 3714.0000,12358.0000,  260.0000
46919.0000,10884.0000, 3715.0000,12709.0000,  257.0000
46920.0000,10877.0000, 3711.0000,12354.0000,  266.0000
46921.0000,10880.0000, 3716.0000,12241.0000,  266.0000
46922.0000,10881.0000, 3714.0000,11825.0000,  257.0000
46923.0000,10881.0000, 3715.0000,12089.0000,  260.0000
46924.0000,10879.0000, 3713.0000,11944.0000,  263.0000
46925.0000,10873.0000, 3720.0000,11870.0000,  285.0000
46926.0000,10883.0000, 3708.0000,12094.0000,  262.0000
46927.0000,10874.0000, 3722.0000,11297.0000,  281.0000
46929.0000,10883.0000, 3721.0000, 2773.0000,  209.0000
46930.0000,10895.0000, 3726.0000, 3023.0000,  210.0000
46931.0000,10881.0000, 3707.0000, 3055.0000,  210.0000
46932.0000,10879.0000, 3722.0000, 2846.0000,  211.0000
46933.0000,10883.0000, 3720.0000, 2965.0000,  204.0000
46934.0000,10900.0000, 3719.0000, 2872.0000,  210.0000
50186.0000,10882.0000, 3714.0000,11062.0000,  383.0000
50187.0000,10878.0000, 3709.0000,11739.0000,  313.0000
50188.0000,10878.0000, 3709.0000,12015.0000,  302.0000
50189.0000,10876.0000, 3712.0000, 9500.0000,  287.0000
50191.0000,10895.0000, 3718.0000, 3622.0000,  261.0000
50194.0000,10879.0000, 3709.0000,12045.0000,  262.0000
50195.0000,10884.0000, 3707.0000,11617.0000,  283.0000
50196.0000,10873.0000, 3707.0000,12955.0000,  254.0000
50197.0000,10874.0000, 3707.0000,12606.0000,  260.0000
50199.0000,10875.0000, 3710.0000,11088.0000,  251.0000
50201.0000,10877.0000, 3704.0000,12229.0000,  257.0000
50203.0000,10881.0000, 3704.0000,12483.0000,  257.0000
50206.0000,10878.0000, 3705.0000,11528.0000,  288.0000
50212.0000,10879.0000, 3703.0000,11819.0000,  284.0000
50213.0000,10874.0000, 3707.0000,11949.0000,  278.0000
50214.0000,10881.0000, 3704.0000,12179.0000,  264.0000
50215.0000,10874.0000, 3706.0000,12556.0000,  267.0000
51348.0000,10891.0000, 3706.0000,11309.0000,  283.0000
54520.0000,10898.0000, 3735.0000, 8182.0000,  240.0000
54525.0000,10899.0000, 3735.0000, 9133.0000,  255.0000
54534.0000,10898.0000, 3731.0000, 4205.0000,  235.0000
54546.0000,10894.0000, 3737.0000, 8559.0000,  237.0000
56579.0000,10891.0000, 3736.0000,11818.0000,  256.0000
68744.0000,10889.0000, 3707.0000, 8560.0000,  244.0000
68753.0000,10889.0000, 3703.0000, 9125.0000,  219.0000
68754.0000,10881.0000, 3704.0000, 5931.0000,  209.0000
  108.0000,10917.0000, 3717.0000,15591.0000,  317.0000
  109.0000,10894.0000, 3717.0000,15646.0000,  296.0000
  412.0000,10910.0000, 3727.0000,17685.0000,  397.0000
  425.0000,10918.0000, 3714.0000,33597.0000,  311.0000
 8368.0000,10904.0000, 3728.0000,26411.0000,  222.0000
11775.0000,10889.0000, 3710.0000,12594.0000,  434.0000
12800.0000,10886.0000, 3711.0000,11595.0000,  420.0000
12802.0000,10884.0000, 3704.0000,12171.0000,  341.0000
15496.0000,10895.0000, 3728.0000, 3990.0000,  204.0000
22267.0000,10882.0000, 3703.0000,31504.0000,  117.0000
22268.0000,10885.0000, 3718.0000,32056.0000,  116.0000
22269.0000,10884.0000, 3716.0000,31580.0000,  118.0000
22272.0000,10899.0000, 3706.0000,33866.0000,  117.0000
22274.0000,10891.0000, 3712.0000,33365.0000,  100.0000
24168.0000,10882.0000, 3701.0000,10318.0000,  240.0000
24173.0000,10903.0000, 3691.0000, 9648.0000,  225.0000
24174.0000,10901.0000, 3700.0000, 9801.0000,  220.0000
24175.0000,10901.0000, 3694.0000, 9682.0000,  239.0000
24176.0000,10901.0000, 3692.0000, 9970.0000,  226.0000
24177.0000,10905.0000, 3696.0000, 9519.0000,  236.0000
24178.0000,10904.0000, 3695.0000, 9790.0000,  234.0000
24179.0000,10914.0000, 3699.0000, 6189.0000,  225.0000
24596.0000,10901.0000, 3712.0000, 6482.0000,  278.0000
24597.0000,10902.0000, 3712.0000, 8343.0000,  301.0000
24598.0000,10910.0000, 3712.0000, 8392.0000,  307.0000
24599.0000,10902.0000, 3714.0000, 8127.0000,  292.0000
24600.0000,10907.0000, 3712.0000, 8263.0000,  302.0000
24601.0000,10909.0000, 3710.0000, 8705.0000,  300.0000
24602.0000,10910.0000, 3711.0000, 8474.0000,  312.0000
24603.0000,10907.0000, 3710.0000, 8031.0000,  306.0000
24604.0000,10909.0000, 3714.0000, 8053.0000,  333.0000
24605.0000,10916.0000, 3711.0000, 8116.0000,  320.0000
24607.0000,10915.0000, 3717.0000, 6088.0000,  289.0000
24614.0000,10898.0000, 3706.0000, 3255.0000,  261.0000
24616.0000,10901.0000, 3699.0000, 3153.0000,  294.0000
24617.0000,10908.0000, 3700.0000, 3101.0000,  290.0000
26679.0000,10897.0000, 3711.0000, 3975.0000,  308.0000
26680.0000,10902.0000, 3726.0000, 8496.0000,  229.0000
26681.0000,10895.0000, 3721.0000, 7952.0000,  255.0000
26682.0000,10892.0000, 3715.0000, 8916.0000,  261.0000
26683.0000,10895.0000, 3717.0000, 7002.0000,  320.0000
26684.0000,10891.0000, 3717.0000, 7241.0000,  333.0000
26685.0000,10905.0000, 3711.0000, 7166.0000,  331.0000
26687.0000,10885.0000, 3717.0000, 9518.0000,  251.0000
26688.0000,10883.0000, 3707.0000, 8039.0000,  304.0000
28997.0000,10880.0000, 3708.0000, 8386.0000,  229.0000
29005.0000,10880.0000, 3713.0000, 9333.0000,  219.0000
30359.0000,10894.0000, 3708.0000, 9818.0000,  420.0000
34673.0000,10880.0000, 3710.0000,14908.0000,  298.0000
36521.0000,10907.0000, 3723.0000, 8348.0000,  296.0000
36522.0000,10902.0000, 3726.0000, 8824.0000,  285.0000
36523.0000,10886.0000, 3720.0000, 8753.0000,  243.0000
36524.0000,10885.0000, 3712.0000, 8888.0000,  246.0000
36525.0000,10883.0000, 3719.0000, 8229.0000,  246.0000
36526.0000,10895.0000, 3718.0000, 8625.0000,  268.0000
36527.0000,10896.0000, 3723.0000, 5271.0000,  276.0000
36528.0000,10904.0000, 3717.0000, 8856.0000,  279.0000
36529.0000,10891.0000, 3714.0000, 8268.0000,  291.0000
36530.0000,10906.0000, 3723.0000, 8880.0000,  287.0000
36531.0000,10903.0000, 3715.0000, 8339.0000,  306.0000
39502.0000,10891.0000, 3692.0000,10137.0000,  334.0000
39508.0000,10892.0000, 3694.0000, 9736.0000,  265.0000
39509.0000,10888.0000, 3698.0000,10638.0000,  298.0000
