46.016,78.4,112.59,140.89,159.28,168.24,171.45,171.35,172.22,173.85,176.19,179.41,182.47,185.13,187.31,188.26,189.06,189.97,191.73,194.22,196.73,199.88,202.98,206.35,210.54,214.36,218.62,223.39,229.26,236.25,242.27,247.09,249.04,248.17,246.67,245.66,246.55,248.57,250.68,252.95,253.39,253.47,253.27,252.83,252.66,252.97,253.74,255.27,257.16,259.64,262.36,264.93,268,271.18,274.91,278.39,282.16,285.57,288.64,290.55,291.9,292.82,292.53,292.03,291.23,289.73,288.13,286.26,285.28,285.07,284.68,284.93,285.26,287.04,289.35,292.33,295.03,297.23,299.18,300.94,302.14,302.26,301.75,300.84,299.7,299.11,298.87,298.91,299.44,300.24,300.93,301.56,303.04,305.47,309.18,313.54,317.12,318.4,317.32,315.56,313.44,311.43,309.93,310.25,312.05,314.96,318.18,319.7,318.42,314.96,310.89,307.57,305.04,303.74,302.67,302.54,303.61,305.08,307.05,308.59,308.74,307.08,304.45,300.88,296.93,293.69,291.87,290.52,289.44,289.87,290.74,292.51,295.1,296.31,294.66,289.97,283.79,277.87,272.51,269.75,267.52,265.82,263.98,261.48,257.81,254.44,251.75,249.88,248.09,246.99,245.73,244.49,243.19,242.07,240.28,237.98,234.94,229.61,217.33,195.59,161.97,119.04,75.001,39.136
46.714,79.037,113.02,140.91,159.05,168.12,171.45,171.33,171.95,173.34,175.64,178.86,182.16,184.99,187.32,188.53,189.41,190.25,191.75,194,196.58,200.19,204.02,207.96,212.4,215.97,219.44,223.32,228.52,235.81,242.79,249.3,253.22,253.58,252.25,250.68,250.72,251.94,253.02,254.59,254.44,254.22,254.27,254.42,254.82,255.27,255.75,256.62,257.79,259.9,262.53,265.47,269.12,273.26,278.1,282.55,287.7,292.32,296.21,298.68,299.97,300.51,299.45,298.53,297.57,295.41,292.97,290.06,288.28,288.17,288.19,289.26,290.18,292.12,293.92,295.97,297.71,299.2,300.53,302.01,302.77,302.61,302.14,301.62,301.09,301.18,301.35,301.52,302.01,302.88,303.58,304.19,305.56,307.5,310.7,314.61,318.07,319.86,319.81,319.29,317.91,315.87,313.93,312.9,313.42,315.17,317.28,318.04,316.13,312.32,308.24,305.03,303.05,302.04,301.33,301.74,303.52,306.43,310.53,314.02,315.08,313.15,309.54,304.73,299.72,295.91,293.88,292.28,291.23,292.01,293.49,295.83,298.62,299.69,297.35,291.75,285.01,278.71,273.12,270,267.4,265.46,263.66,261.59,258.52,255.72,253.48,251.82,249.95,248.34,246.18,243.95,241.88,240.35,238.68,236.92,234.56,229.62,217.54,195.5,161.29,117.9,73.793,38.181
46.244,78.319,112.22,139.99,158.05,167.17,170.47,170.26,170.74,172.24,174.91,178.46,182.21,185.24,187.54,188.86,189.77,190.68,192.31,194.75,197.72,201.66,205.78,209.72,213.68,216.64,219.24,222.19,226.57,233.7,241.25,249.05,254.89,256.89,256.24,254.66,254.19,254.75,254.87,255.62,254.94,254.48,255.08,256.22,257.64,258.69,259.13,259.43,259.89,261.66,264.26,267.45,271.49,276.11,281.39,286.2,292.18,297.75,302.39,305.67,307.17,307.72,306.47,305.69,304.99,302.58,299.43,295.41,292.43,292.11,292.36,294.63,296.78,299.52,301.23,302.16,302.13,301.82,301.56,302.35,302.74,302.9,303.02,303.08,303.27,304.05,304.7,304.99,305.27,305.9,306.36,306.79,307.86,309.1,311.68,315.18,318.89,321.92,323.46,324.39,323.58,321.37,318.9,316.42,315.54,315.97,316.7,316.45,313.69,309.45,305.35,302.2,300.77,300.17,300.09,301.35,303.97,308.1,313.65,318.09,319.29,316.82,312.34,306.74,301.21,297.19,294.96,293.01,291.82,292.37,293.87,296.06,298.46,299.27,296.8,291.22,284.72,278.67,273.33,270.07,267.6,265.87,264.39,262.87,260.54,258.35,256.59,255.08,252.95,250.51,247.25,243.87,240.93,238.94,237.43,236.16,234.45,230.21,218.76,197.15,163.06,119.49,75.038,38.902
46.145,78.115,111.9,139.44,157.1,165.81,168.79,168.46,169.07,171.09,174.43,178.54,182.72,185.86,187.9,189.12,190.03,191.05,192.86,195.48,198.63,202.54,206.48,210.11,213.42,215.98,218.27,220.87,224.9,231.72,239.39,247.69,254.72,258.12,258.44,257.42,256.9,256.92,256.12,255.86,254.66,253.89,254.9,256.81,259.12,260.92,261.73,262.08,262.55,264.48,267.38,270.92,275.3,280.07,285.1,289.33,294.82,300.25,304.84,308.62,310.58,311.7,311.25,311.64,312.15,310.43,307.15,302.35,297.91,296.78,296.86,300.27,303.86,307.7,309.58,309.36,307.31,304.79,302.66,302.62,302.66,303.37,304.25,305.07,306.23,307.93,309.34,309.72,309.52,309.44,309.32,309.34,310.13,310.8,312.96,316.15,320.11,324.15,326.85,328.6,327.94,325.59,322.98,319.55,317.62,316.7,315.88,314.61,311.31,307.16,303.49,300.7,299.86,299.56,300.16,302.12,305.19,309.74,315.41,319.42,319.91,316.8,311.95,306.34,301.25,297.74,295.58,293.39,291.84,291.67,292.58,294.12,295.83,296.23,293.99,289,283.24,277.82,273.01,269.83,267.86,266.73,265.83,264.81,262.97,261.05,259.53,258.06,255.67,252.57,248.48,244.26,240.6,238.19,236.78,235.86,234.7,231.46,221.06,200.51,167.09,123.52,78.366,41.025
45.717,77.494,111.06,138.41,155.71,164.08,166.88,166.57,167.45,170.11,174.2,179.07,183.82,187.25,189.04,189.98,190.72,191.7,193.62,196.36,199.44,202.87,206.12,209.05,211.51,213.74,216.06,218.79,222.93,229.66,237.52,245.99,253.67,257.99,259.07,258.66,258.27,258.05,256.86,255.81,254.17,252.86,253.81,255.95,258.75,261.44,263.19,264.51,265.94,268.59,272.05,275.88,280.51,285.33,289.91,293.17,297.15,301.16,304.54,308.03,310.42,312.45,313.6,315.76,317.95,317.44,314.47,309.22,303.44,301.03,300.44,304.2,308.61,313.17,315.38,314.63,311.45,307.57,304.24,303.59,303.48,304.74,306.29,307.52,309.14,311.21,313.05,313.47,313.06,312.66,312.39,312.4,313.15,313.51,315.24,317.94,321.76,326.07,329.19,331.04,330.22,327.88,325.37,321.75,319.31,317.52,315.68,313.93,310.75,307.22,304.28,301.94,301.45,301.21,302.19,304.43,307.19,310.88,314.97,317.12,316.39,312.96,308.73,304.2,300.53,298.1,296.15,293.7,291.58,290.39,290.19,290.72,291.59,291.61,289.94,286.16,281.56,277.02,272.8,269.89,268.51,268.2,268.01,267.48,265.83,263.81,262.04,260.23,257.33,253.59,248.98,244.5,240.6,238.15,236.89,236.18,235.28,232.94,223.55,204.27,171.8,128.41,82.465,43.714
45.586,77.218,110.54,137.76,154.87,163.13,165.96,165.83,166.88,169.79,174.13,179.34,184.36,188.03,189.76,190.62,191.36,192.31,194.12,196.55,199.08,201.65,204.08,206.41,208.38,210.64,213.32,216.45,220.91,227.6,235.53,243.89,251.68,256.49,258.2,258.41,258.47,258.56,257.74,256.54,254.73,252.78,253,254.59,257.26,260.59,263.45,266.13,269.01,272.52,276.57,280.61,285.63,290.82,295.34,297.79,299.93,301.72,303.09,305.33,307.73,310.57,313.64,317.98,322.24,323.33,321,315.5,308.53,304.53,302.92,306.14,310.44,314.97,317.22,316.43,313.28,309.51,306.34,305.71,305.74,307.29,309.02,310.19,311.76,313.64,315.47,316.06,316.06,316.12,316.45,316.9,317.55,317.39,318.22,319.86,322.9,326.84,329.85,331.34,330.2,327.89,325.51,322.2,319.81,317.63,315.32,313.68,311.43,309.28,307.67,306.07,305.72,304.98,305.62,307.3,308.88,310.57,311.91,311.47,309.35,305.85,302.94,300.18,298.52,297.54,296.13,293.75,291.24,289.27,288.06,287.6,287.65,287.34,286.24,283.73,280.23,276.5,272.78,270.17,269.35,269.94,270.51,270.32,268.4,265.7,263.1,260.62,257.29,253.37,248.79,244.64,240.93,238.64,237.36,236.55,235.51,233.77,225.31,207.45,176.13,133.13,86.488,46.408
45.499,77.025,110.19,137.46,154.72,163.25,166.42,166.54,167.63,170.37,174.51,179.64,184.61,188.42,190.29,191.36,192.33,193.36,194.92,196.69,198.36,199.98,201.75,203.85,205.84,208.4,211.37,214.7,219.15,225.46,233.11,241.13,248.7,253.72,255.91,256.73,257.51,258.5,258.7,257.9,256.13,253.63,252.99,254,256.56,260.29,263.91,267.42,271.21,275.07,279.41,283.5,288.9,294.54,299.24,301.33,302.01,301.62,300.95,301.66,303.9,307.34,312,318.03,323.76,326.22,324.69,319.44,312.08,306.89,304.28,306.18,309.39,313.06,315.08,314.77,312.75,310.39,308.43,308.11,308.16,309.4,310.65,311.36,312.6,314.07,315.76,316.82,317.8,318.94,320.28,321.34,321.85,321.26,321.29,321.94,323.96,326.97,329.34,330.27,329.1,327.18,325.25,322.56,320.45,318.19,315.98,315.06,314.25,313.73,313.49,312.5,312.07,310.48,310.3,310.83,310.67,309.76,307.98,305.1,302.03,298.86,297.54,296.55,296.56,296.75,295.97,294.03,291.67,289.59,287.89,286.81,286.42,285.95,285.24,283.6,280.83,277.77,274.45,272.3,271.92,273.06,273.79,273.16,270.2,266.17,262.16,258.82,255.17,251.45,247.41,244.12,241.04,239.13,237.77,236.63,235.14,233.59,225.71,208.92,178.63,136.15,89.157,48.258
46.315,77.867,110.77,137.91,155.24,164.13,167.71,168.18,169.2,171.4,174.92,179.56,184.19,188.09,190.33,191.91,193.36,194.77,196.33,197.63,198.68,199.63,200.93,202.91,205.13,207.91,210.91,214.19,218.27,223.91,230.92,238.39,245.43,250.47,253.08,254.38,255.95,257.95,259.24,259.06,257.57,254.96,253.83,254.62,257.22,260.92,264.54,267.84,271.53,274.96,279.23,283.35,289.22,295.4,300.5,302.64,302.37,300.27,298.02,297.39,299.53,303.35,308.96,315.61,321.75,324.96,324.38,320.15,313.71,308.46,305.48,306.03,307.83,310.25,311.86,312.25,311.82,311.46,311.19,311.39,311.28,311.77,312.09,312.17,313.12,314.35,315.85,317.42,319.37,321.52,323.67,325.11,325.43,324.53,324.17,324.4,325.79,327.97,329.46,329.67,328.5,327.01,325.57,323.49,321.65,319.4,317.47,317.33,317.84,318.69,319.5,318.94,318.36,316.04,315.03,314.52,312.78,309.49,305,300.16,296.47,293.63,293.63,293.97,294.94,295.93,295.91,294.99,293.54,291.97,290.02,288.19,287.14,286.4,285.93,285.1,283.07,280.72,277.77,276.01,275.65,276.67,276.94,275.25,270.84,265.29,259.81,255.75,252.06,249.01,245.87,243.56,241.14,239.45,237.86,236.35,234.52,233.19,225.89,210.04,180.7,138.72,91.458,49.882
48.683,80.559,113.14,139.7,156.66,165.58,169.28,170.06,171.06,172.75,175.6,179.54,183.54,187.28,189.98,192.33,194.61,196.81,198.58,199.46,199.98,200.4,201.37,203.3,205.83,208.78,211.63,214.64,218,222.62,228.66,235.47,242.09,247.45,250.77,252.65,254.87,257.36,259.07,259.15,258.07,255.96,255.08,256.35,259.22,262.45,265.3,267.52,270.32,272.83,276.62,280.45,286.19,292.31,297.47,299.88,299.59,297.18,294.8,293.95,296.33,300.31,305.95,312.09,317.64,321,321.21,318.42,313.83,309.63,306.86,306.33,306.67,307.66,308.66,309.68,310.76,312.43,313.89,314.91,314.81,314.59,313.98,313.46,314.18,315.31,316.67,318.72,321.41,324.23,326.67,327.94,327.8,326.58,326.36,327.07,328.69,330.52,331.17,330.51,328.97,327.4,326.03,324.12,322.46,320.54,319.5,320.45,322.11,323.72,324.8,324.17,323.37,320.61,319.06,317.64,314.63,309.6,303.52,297.81,294.25,291.91,292.67,293.41,294.26,295.24,295.68,295.99,295.91,295.32,293.47,290.96,289.22,288.12,287.77,287.67,286.36,284.83,282.31,281.07,280.8,281.52,280.98,277.8,271.7,264.61,257.86,253.39,249.96,247.74,245.44,243.75,241.63,239.82,237.81,235.88,233.84,232.68,225.74,210.38,181.58,139.92,92.563,50.687
51.996,84.414,116.66,142.27,158.38,166.77,170.11,171.04,172.15,173.65,176.19,179.61,183.09,186.65,189.83,192.96,196.08,199.23,201.38,202.21,202.57,202.79,203.45,205.12,207.75,210.67,213.29,215.99,218.47,221.85,226.65,232.63,238.92,244.62,248.6,250.95,253.35,255.7,257.4,257.82,257.75,257.05,257.33,259.7,262.95,265.57,267.35,268.07,269.41,270.55,273.37,276.63,281.76,287.33,292.1,294.49,294.43,292.56,291,290.76,293.49,297.44,302.53,307.55,312.16,315.36,316.29,315.2,312.91,310.38,308.12,306.59,305.35,304.69,304.91,306.49,309.01,312.67,315.93,318.08,318.39,317.83,316.6,315.64,316.15,317.21,318.4,320.59,323.48,326.32,328.39,329.07,328.51,327.24,327.56,329.23,331.37,332.77,332.29,330.46,328.07,326.03,324.5,322.84,321.75,320.84,321.25,323.33,325.64,327.22,327.75,326.66,325.5,322.61,320.72,318.55,314.69,308.88,302.48,297.04,294.24,292.78,294.05,294.9,295.24,295.92,296.62,298.07,299.34,299.73,298.02,294.96,292.63,291.2,290.78,291.07,290.19,289.19,286.96,286.14,285.94,286.18,284.8,280.2,272.7,264.5,256.98,252.36,249.16,247.4,245.43,243.79,241.55,239.45,237.15,235.16,233.34,232.5,225.88,210.72,182.15,140.61,93.147,51.129
