135.43,153.52,170.16,183.45,191.72,197.03,199.7,201.6,202.83,204,206.18,208.51,208.97,209.24,209.88,209.77,211.56,214.6,217.18,221.86,227.73,233.61,239.93,245.36,251.59,259,265.72,272.48,281.62,290.59,301.03,312.61,322.95,331.91,339.74,345.41,349.82,352.72,354.34,355.46,356.1,356.25,355.96,356.34,355.43,354.77,354.34,353.54,353.08,351.9,351.6,351.95,353.25,355.66,358.27,361.43,363.25,365.5,366.83,367.59,366.77,367.49,369.83,372.07,374.28,377.27,379.23,381.57,382.99,383.39,382.96,382.4,382.22,381.99,381.13,381.36,382.06,382.96,381.66,380.73,377.82,374.69,371.06,368.56,368.11,368.39,372.2,375.21,379,383.4,385.53,387.58,388.57,390.02,390.13,390.22,388.96,388.24,388.94,388.77,388.5,387.74,387.92,387.68,386.61,383.48,380.33,376.19,372.75,369.92,366.31,362.61,360.55,359.29,357.69,355.92,355.98,354.84,353.83,353.32,353.52,350.73,346.31,340.96,332.75,323.54,314.6,306.95,301.92,300.97,304.1,310.32,316.2,321.21,325.08,326.61,326.29,326.42,326.03,327.73,330.36,333.12,335.01,336.2,335.26,333.54,331.46,328.84,326.33,324.27,321.93,318.45,312.62,300.81,283.03,258.53,226.9,189.65,149.09,109.21,73.875,45.463
125.12,145.56,164.84,181.02,192.47,200.74,205.72,209.14,210.81,211.83,213.03,213.93,212.75,211.69,210.63,209.76,210.86,213.14,214.99,219.45,225,231.01,237.28,243.03,250.05,258.2,265.94,273.39,282.73,292.09,302.83,314.7,325.09,334.49,342.58,348.42,352.8,355.4,356.4,356.59,356.7,356.44,355.89,356.2,355.78,355.61,355.62,355.36,355.13,353.83,353.16,353.06,353.66,355.26,357.31,360.29,361.96,364.26,365.94,367.1,366.85,367.99,370.73,373.36,376.3,379.96,382.63,385.49,387.14,387.73,387.19,386.07,384.89,383.38,381.66,381.06,381.1,381.66,380.64,379.92,377.74,375.5,372.71,370.93,371.17,371.68,375.33,377.7,380.75,384.48,386.11,387.99,389.35,391.43,392.57,393.78,393.22,393.1,394.09,393.85,393.45,392.2,391.82,390.93,389.18,385.63,382.02,377.49,374.06,371.33,368.19,365.29,363.92,363.52,362.66,361.34,361.61,360.48,359.72,359.3,359.59,357.12,353.33,348.64,341.15,332.53,323.69,315.9,310.53,308.55,310.2,314.45,318.9,322.96,326.19,327.79,327.9,328.4,328.33,329.98,332.21,334.1,335.38,335.95,334.59,332.69,330.49,327.99,325.63,323.76,321.98,319.1,314.32,303.51,286.76,263.02,231.83,194.61,153.67,113.07,76.788,47.442
115.64,137.54,158.74,177.23,191.39,202.36,209.49,214.53,216.86,218.01,218.66,218.7,216.71,215.27,213.42,212.54,213.56,215.53,216.79,220.87,225.69,231.36,237.17,242.79,250.14,258.75,267.23,275.23,284.61,294.24,305.12,317.14,327.5,337.23,345.57,351.58,355.93,358.21,358.59,358.04,357.63,357,356.3,356.61,356.76,357.05,357.51,357.77,357.59,356.13,354.89,354.12,353.55,354.13,355.23,357.63,358.87,361,362.96,364.4,364.73,366.49,369.64,372.79,376.46,380.96,384.31,387.81,390,391.03,390.71,389.47,387.87,385.62,383.4,382.23,381.59,381.64,380.64,379.87,378.02,376.34,374.29,373.24,374.07,374.96,378.53,380.44,382.99,386.36,387.87,389.85,391.87,394.81,396.96,399.14,399,399.13,399.82,399.06,397.93,395.9,394.75,393.11,390.65,386.7,382.67,377.96,374.45,371.84,369.24,367.24,366.78,367.57,367.62,367.02,367.64,366.65,365.92,365.26,365.13,362.74,359.23,354.9,348.25,340.52,332.25,324.79,319.51,316.81,316.94,319.21,321.92,324.72,326.99,328.57,329.17,329.91,330.19,331.74,333.46,334.3,334.71,334.6,332.79,330.78,328.61,326.32,324.11,322.32,320.86,318.03,313.73,303.36,287.17,264.01,233.28,196.41,155.65,114.99,78.439,48.678
106.89,129.62,152.15,172.37,188.82,202.05,210.96,217.42,220.37,221.69,222.07,221.88,219.78,218.67,216.95,216.75,218.19,220.07,221.01,224.8,228.88,234.25,239.59,245.15,252.81,261.79,270.88,279.21,288.39,297.97,308.66,320.28,330.14,339.78,348.15,354.25,358.68,360.86,360.97,359.98,359.23,358.31,357.24,357.26,357.68,358.07,358.74,359.3,359.07,357.48,355.84,354.61,353.03,352.66,352.99,354.98,355.96,358.02,360.42,362.36,363.62,366.45,370.32,374.21,378.76,384.13,388.03,391.64,393.85,394.82,394.29,392.72,390.72,387.97,385.64,384.34,383.3,383,382.07,381.26,379.67,378.4,377.2,376.93,378.24,379.59,383.02,384.54,386.64,389.76,391.21,393.42,396.18,399.99,403.04,405.85,406.03,406.28,406.35,404.91,402.85,399.82,397.73,395.15,391.85,387.44,383.01,378.16,374.62,372.2,370.04,368.84,369.13,370.92,371.91,372.1,373.25,372.75,372.3,371.62,371.12,368.87,365.45,361.38,355.37,348.36,340.61,333.3,327.97,324.41,322.78,322.99,323.95,325.54,326.86,328.37,329.37,330.19,330.61,331.78,332.9,332.73,332.5,332.17,330.39,328.76,327.04,325.28,323.36,321.55,320.1,316.88,312.44,301.96,285.81,262.91,232.59,196.28,156.12,115.89,79.516,49.713
102.2,125.24,148.6,169.97,187.86,202.45,212.13,219.06,222.04,223.19,223.41,223.48,222.06,222.19,221.67,222.75,224.95,226.95,227.61,230.88,233.97,238.68,243.25,248.55,256.21,265.24,274.59,282.99,291.89,301.43,311.93,323.12,332.73,342.35,350.86,357.21,361.81,364.08,364.12,362.79,361.51,360,357.97,356.94,356.81,356.69,357.25,358.2,358.36,357.25,355.9,354.8,352.65,351.64,351.2,352.78,353.63,355.8,358.81,361.51,363.76,367.66,372.07,376.33,381.24,387.06,391.02,394.55,396.79,397.83,397.38,395.89,393.91,391.21,389.02,387.74,386.38,385.75,384.8,384.03,382.71,381.86,381.55,382.12,383.78,385.56,388.71,389.95,391.69,394.61,396.14,398.68,402.07,406.5,410.06,413.04,413.27,413.34,412.52,410.37,407.47,403.69,400.98,397.78,393.9,389.17,384.3,379.22,375.31,372.6,370.5,369.9,370.89,373.7,375.93,377.26,379.22,379.45,379.31,378.53,377.34,374.86,371.15,367.02,361.4,355.13,348.19,341.34,336.38,332.45,329.37,327.78,326.84,326.91,326.84,327.76,328.65,329.19,329.58,330.39,331.08,330.17,329.45,329.15,327.59,326.52,325.37,324.14,322.54,320.73,319.13,315.32,310.36,299.42,283.04,260.19,230.17,194.46,155.12,115.69,79.914,50.398
104.83,127.04,150.08,171.51,189.88,204.91,214.67,221.53,224.25,224.91,224.75,224.84,223.87,224.98,225.69,228.06,231.13,233.52,234.54,237.79,240.45,244.69,248.61,253.52,260.74,269.33,278.35,286.4,294.94,304.41,314.76,325.47,334.83,344.24,352.83,359.34,364.25,366.96,367.39,366.19,364.78,362.82,359.68,357.39,356.21,355.12,355.28,356.31,356.84,356.35,355.56,354.89,352.29,350.61,349.33,350.31,350.78,352.9,356.31,359.8,363.28,368.39,373.48,378.26,383.56,389.9,394,397.51,399.89,400.99,400.71,399.48,397.63,395.24,393.49,392.61,391.31,390.77,389.97,389.29,388.14,387.46,387.83,388.98,390.71,392.82,395.56,396.53,397.82,400.37,401.8,404.5,408.28,413.08,416.86,419.79,419.96,419.85,418.16,415.46,411.93,407.62,404.49,400.77,396.38,391.25,385.84,380.53,376.06,373.02,370.94,370.73,372.29,375.97,379.35,381.69,384.43,385.4,385.6,384.74,382.89,380.2,376.24,371.96,366.84,361.4,355.41,349.27,344.83,340.84,336.83,333.94,331.55,330.43,329.15,329.34,329.92,329.74,329.63,329.67,329.5,327.69,326.24,325.66,324.14,323.45,322.66,321.92,320.75,319.09,317.6,313.62,308.49,297.65,281.45,259.08,229.71,194.81,156.29,117.49,81.975,52.325
108.77,130.44,153.22,174.45,192.7,207.32,216.47,222.5,224.57,224.55,224.12,224.37,224.05,226.22,228.18,231.69,235.48,238.29,239.83,243.15,245.68,249.6,253.01,257.61,264.47,272.6,281.06,288.6,296.49,305.65,315.45,325.35,334.24,343.34,352.09,359.17,364.92,368.79,370.43,370.15,369.19,367.26,363.14,359.55,357.05,354.8,354.35,355.32,356.28,356.55,356.54,356.36,353.6,351.23,349.1,349.38,349.47,351.5,355.17,359.43,363.89,369.77,375.09,379.73,384.89,391.2,395.19,398.69,401.39,402.86,403.04,402.43,400.75,398.73,397.25,396.52,395.12,394.45,393.73,393.27,392.36,392.03,393.09,394.87,396.48,398.78,400.97,401.61,402.52,404.77,406.15,409.03,413.11,418.14,421.82,424.37,424.34,424.08,421.75,418.83,415.23,410.86,407.83,404.12,399.57,394.26,388.43,383,377.97,374.44,372.05,371.83,373.46,377.3,381.34,384.27,387.47,389.17,389.77,388.98,386.71,383.89,379.7,375.22,370.17,365.25,360.06,354.63,350.87,347.15,342.84,339.46,336.25,334.2,331.86,330.98,330.77,329.56,328.38,327.36,326.23,323.73,321.83,321.18,319.95,319.88,319.66,319.46,318.66,317.07,315.58,311.45,306.1,295.45,279.66,258.11,229.72,195.86,158.28,120.1,84.762,54.864
115.12,136.01,158.17,178.69,196.26,209.82,218.06,223.11,224.61,224.23,223.97,224.74,225.31,228.39,231.58,235.74,239.76,242.52,244.23,247.23,249.54,252.96,255.97,260.24,266.78,274.42,282.33,289.4,296.8,305.71,315.15,324.48,333.11,342.04,350.96,358.52,365.09,369.94,372.7,373.28,372.69,370.89,365.84,361.03,357.13,353.65,352.44,353.25,354.63,355.89,357.12,357.86,355.66,353.13,350.2,349.58,348.7,349.94,352.95,357.26,362.21,368.64,374.39,379.33,384.76,391.28,395.4,399.12,402.1,403.77,404.29,404.24,402.75,401.25,400.2,399.96,398.85,398.49,398.11,398.09,397.46,397.38,398.9,400.99,402.29,404.61,406.2,406.52,406.99,408.89,410.12,413.06,417.25,422.36,425.96,428.3,428.34,428.28,425.73,422.81,419.37,415.06,412.03,408.29,403.55,398.04,391.88,386.47,380.89,376.78,373.86,373.27,374.68,378.32,382.77,386.25,389.9,392.25,393.22,392.38,389.58,386.42,381.88,377.18,372.2,367.79,363.45,358.91,355.84,352.54,348.45,345.03,341.52,338.98,335.84,333.87,332.52,329.97,327.34,324.84,322.47,319.33,316.88,315.93,314.87,315.1,315.05,315.05,314.34,312.63,311.01,306.86,301.54,291.49,276.68,256.65,229.87,197.53,161.16,123.71,88.496,58.113
120.46,140.48,161.72,181.18,197.51,209.48,216.51,220.42,221.57,221.2,221.74,223.68,225.75,229.94,234.2,238.62,242.28,244.58,246.1,248.54,250.78,253.93,257.03,261.44,268.04,275.55,283.14,289.77,296.69,305.2,313.87,322.32,330.34,338.76,347.64,355.6,362.99,368.98,373.12,374.99,375.3,374.17,368.81,363.53,358.75,354.47,352.67,353.28,355.01,357.21,359.62,361.29,359.91,357.51,354.09,352.55,350.56,350.67,352.43,356.14,360.97,367.38,373.25,378.57,384.5,391.51,396.08,400.32,403.7,405.34,405.88,406.03,404.25,402.83,401.96,402.07,401.3,401.42,401.47,402.05,401.67,401.61,403.19,405,405.56,407.57,408.5,408.68,409.17,411.07,412.61,415.77,419.93,424.93,428.15,430,430.01,430.1,427.59,424.99,422.11,418.18,415.53,411.87,407.19,401.62,395.2,389.8,383.72,379.06,375.58,374.52,375.53,378.8,383.52,387.47,391.59,394.56,395.91,395.09,391.97,388.58,383.84,378.87,373.9,369.85,366.09,362.24,359.66,356.72,353.17,350.2,346.9,344.17,340.51,337.47,334.93,330.8,326.55,322.63,319.08,315.5,312.77,311.42,310.43,310.7,310.4,309.88,308.59,305.97,303.62,298.87,293.14,283.55,269.78,251.45,226.7,196.29,161.64,125.43,90.846,60.394
128.63,147.22,166.84,184.53,198.99,208.87,214.37,216.86,217.4,216.98,218.24,221.24,224.72,230.01,235.37,240.22,243.74,245.77,247.17,249.11,251.26,253.97,257.02,261.36,268.04,275.58,283.06,289.66,296.33,304.61,312.67,320.38,327.8,335.6,344.26,352.18,360.01,366.55,371.5,374.22,375.21,374.95,369.81,364.74,359.77,355.25,353.27,353.78,355.91,358.9,362.42,364.88,364.52,362.48,358.72,356.5,353.49,352.53,352.95,355.86,360.14,366,371.6,376.91,383.11,390.31,395.35,400.36,404.45,406.31,407.17,407.75,405.76,404.44,403.61,403.91,403.47,404.14,404.8,406.26,406.48,406.82,408.82,410.42,410.44,412.06,412.29,412.13,412.39,413.94,415.35,418.25,421.88,426.27,428.92,430.23,430.31,430.72,428.73,426.76,424.7,421.36,419.1,415.61,411.09,405.7,399.39,394.27,388.16,383.28,379.41,377.69,378.01,380.38,384.68,388.38,392.38,395.49,396.92,396.03,392.74,389.13,384.18,378.97,373.82,369.67,366.01,362.48,360.17,357.45,354.66,352.56,350.06,347.73,344.2,340.71,337.41,332.4,327.02,322.04,317.6,313.73,310.65,308.61,307.28,307.12,306.2,304.84,302.73,299.08,295.82,290.39,284.17,274.89,262.05,245.34,222.55,194.02,161.04,126.07,92.263,61.888
